Month,fecha,Cost
1991 jul.,1991-07-01,0.429795
1991 ago.,1991-08-01,0.400906
1991 sep.,1991-09-01,0.432159
1991 oct.,1991-10-01,0.492543
1991 nov.,1991-11-01,0.502369
1991 dic.,1991-12-01,0.602652
1992 ene.,1992-01-01,0.660119
1992 feb.,1992-02-01,0.33622
1992 mar.,1992-03-01,0.351348
1992 abr.,1992-04-01,0.379808
1992 may.,1992-05-01,0.361801
1992 jun.,1992-06-01,0.410534
1992 jul.,1992-07-01,0.48338866999999996
1992 ago.,1992-08-01,0.47546341999999997
1992 sep.,1992-09-01,0.53476104
1992 oct.,1992-10-01,0.56860613
1992 nov.,1992-11-01,0.5952232900000001
1992 dic.,1992-12-01,0.77125778
1993 ene.,1993-01-01,0.7515028
1993 feb.,1993-02-01,0.38755434000000005
1993 mar.,1993-03-01,0.42728322
1993 abr.,1993-04-01,0.41389018000000005
1993 may.,1993-05-01,0.42885882000000003
1993 jun.,1993-06-01,0.47012642000000004
1993 jul.,1993-07-01,0.50920969
1993 ago.,1993-08-01,0.558443
1993 sep.,1993-09-01,0.6015140600000001
1993 oct.,1993-10-01,0.6329471
1993 nov.,1993-11-01,0.69960539
1993 dic.,1993-12-01,0.9630805100000001
1994 ene.,1994-01-01,0.81932534
1994 feb.,1994-02-01,0.43766980000000005
1994 mar.,1994-03-01,0.5061212700000001
1994 abr.,1994-04-01,0.47049116999999996
1994 may.,1994-05-01,0.5106962599999999
1994 jun.,1994-06-01,0.54051379
1994 jul.,1994-07-01,0.5581189200000001
1994 ago.,1994-08-01,0.67285206
1994 sep.,1994-09-01,0.68589738
1994 oct.,1994-10-01,0.68969198
1994 nov.,1994-11-01,0.74130358
1994 dic.,1994-12-01,0.8133076300000001
1995 ene.,1995-01-01,0.80311257
1995 feb.,1995-02-01,0.47525824000000005
1995 mar.,1995-03-01,0.5525722999999999
1995 abr.,1995-04-01,0.5271078199999999
1995 may.,1995-05-01,0.5612498199999999
1995 jun.,1995-06-01,0.58897764
